HIP,designation_DR3,designation_DR2,designation_DR1,hipparcos_parallax,hipparcos_parallax_error,simbad_parallax,simbad_parallax_error
HIP 85295,Gaia DR3 4375233191015944192,Gaia DR2 4375233191015944192,Gaia DR1 4375233191015944192,129.54,0.95,129.6459,0.0175
HIP 49986,Gaia DR3 3828238392559860992,Gaia DR2 3828238392559860992,\N,127.99,1.53,129.7544,0.0252
HIP 12781,Gaia DR3 114207651462714880,Gaia DR2 114207651462714880,\N,132.42,2.48,130.1956,0.0281
HIP 5336,Gaia DR3 411413822074322432,Gaia DR2 411413822074322432,\N,132.4,0.6,130.2881,0.4348
HIP 7981,Gaia DR3 96331172942614528,Gaia DR2 96331172942614528,\N,133.91,0.91,130.8234,0.1532
HIP 65859,Gaia DR3 3738099879558957952,Gaia DR2 3738099879558957952,\N,131.12,1.29,131.1013,0.027
HIP 113283,Gaia DR3 6604147121141267712,Gaia DR2 6604147121141267712,\N,130.94,0.92,131.5525,0.0275
HIP 83945,Gaia DR3 1355264565043431040,Gaia DR2 1355264565043431040,\N,137.84,8.95,131.5996,0.4285
HIP 2021,Gaia DR3 4683897617110115200,Gaia DR2 4683897617108299136,\N,133.78,0.51,134.07,0.11
HIP 106255,Gaia DR3 6894054664842632448,Gaia DR2 6894054664842632448,\N,124.82,28.85,134.0831,1.1125
HIP 3765,Gaia DR3 2552925644460225152,Gaia DR2 2552925644460225152,\N,134.04,0.86,134.4948,0.0578
HIP 12114,Gaia DR3 19316224572460416,Gaia DR2 19316224572460416,\N,138.72,1.04,138.34,0.3177
HIP 103096,Gaia DR3 2195886971653527168,Gaia DR2 2195886971653527168,Gaia DR1 2195886967353517312,141.95,0.77,142.0543,0.016
HIP 51317,Gaia DR3 3855208897392952192,Gaia DR2 3855208897392952192,\N,138.29,2.13,142.0951,0.0212
HIP 53020,Gaia DR3 3864615459886222464,Gaia DR2 3864615459886222464,Gaia DR1 3864615455592036992,177.46,23.0,143.5391,0.0286
HIP 113296,Gaia DR3 2828928008202069376,Gaia DR2 2828928008202069376,Gaia DR1 2828928003907155072,145.27,1.22,145.6234,0.0255
HIP 84709,Gaia DR3 5975663422846187008,\N,\N,143.45,17.12,146.29,9.03
HIP 106106,Gaia DR3 1784473016438653056,Gaia DR2 1784473016438653056,\N,148.29,1.85,147.4958,0.0257
HIP 53767,Gaia DR3 3988987164339438208,Gaia DR2 3988987164339438208,\N,150.96,1.59,148.1986,0.0253
HIP 114622,Gaia DR3 2009481748875806976,Gaia DR2 2009481748875806976,\N,153.24,0.65,152.864,0.0494
HIP 82809,Gaia DR3 4339465360510320128,Gaia DR2 4339465360508118912,Gaia DR1 4339465356212491648,153.96,4.04,153.8754,0.0474
HIP 80459,Gaia DR3 1428427236986209024,Gaia DR2 1428427236986209024,Gaia DR1 1428427232690720000,151.93,1.11,154.3503,0.0161
HIP 120005,Gaia DR3 1022456104850892928,Gaia DR2 1022456104850892928,Gaia DR1 1022456100555749632,159.48,6.61,157.8825,0.0211
HIP 45343,Gaia DR3 1022456139210632064,Gaia DR2 1022456139210632064,\N,161.59,5.23,157.8879,0.0197
HIP 74995,Gaia DR3 6322070093095493504,Gaia DR2 6322070093095493504,Gaia DR1 6322069882641960448,159.52,2.27,158.7183,0.0301
HIP 71253,Gaia DR3 6324325225803432320,Gaia DR2 6324325225803432320,\N,163.51,2.77,159.9225,0.0546
HIP 82817,Gaia DR3 4339465085630200960,Gaia DR2 4339465085630200960,\N,174.23,3.9,161.41,5.64
HIP 99701,Gaia DR3 6673000841376349696,Gaia DR2 6673000841376349696,\N,161.17,1.08,162.2171,0.0225
HIP 99240,Gaia DR3 6427464123776727168,Gaia DR2 6427464325637241728,\N,163.73,0.65,163.9544,0.1222
HIP 34603,Gaia DR3 946632924007399936,Gaia DR2 946632924006923776,\N,157.24,3.32,165.2147,0.0636
HIP 15510,Gaia DR3 4847957293278177024,Gaia DR2 4847957293277762560,\N,165.02,0.55,165.5242,0.0784
HIP 99461,Gaia DR3 6697578465310949376,Gaia DR2 6697578465310949376,\N,165.24,0.9,166.3272,0.1065
HIP 37766,Gaia DR3 3136952686035250688,Gaia DR2 3136952686035250688,\N,168.59,2.67,166.9769,0.0343
HIP 84140,\N,Gaia DR2 1364668825433454848,\N,158.17,3.26,167.29,5.02
HIP 84478,Gaia DR3 4109034455276324608,Gaia DR2 4109034455276324608,\N,167.56,1.06,167.9617,0.0311
HIP 73182,\N,Gaia DR2 6232511675556408320,\N,133.63,33.56,168.77,21.54
HIP 3821,Gaia DR3 425040000962559616,Gaia DR2 425040000951479424,\N,167.99,0.62,168.8322,0.1663
HIP 76074,Gaia DR3 6002807341299977216,Gaia DR2 6002807341299977216,\N,168.52,1.42,168.9965,0.027
HIP 94761,Gaia DR3 4293318823182081408,Gaia DR2 4293318823182081408,Gaia DR1 4293318818833464832,170.26,1.37,169.0615,0.0239
HIP 117473,Gaia DR3 2739689239311660672,Gaia DR2 2739689239311660672,Gaia DR1 2739689235015218560,167.51,1.49,169.2163,0.0281
HIP 86990,Gaia DR3 5918660719983560192,Gaia DR2 5918660719981686144,\N,172.08,2.22,169.8042,0.0465
HIP 73184,Gaia DR3 6232511606838403968,Gaia DR2 6232511606838403968,\N,169.32,1.67,169.8843,0.0653
HIP 26857,Gaia DR3 3340477717172813568,Gaia DR2 3340477717172813568,\N,172.78,3.88,172.6762,0.0286
HIP 96100,Gaia DR3 2261614264931057664,Gaia DR2 2261614264930275072,Gaia DR1 2261614294993061120,173.41,0.46,173.4939,0.0748
HIP 29295,Gaia DR3 2940856402123426176,Gaia DR2 2940856402123426176,Gaia DR1 2940856397828565760,173.19,1.12,173.574,0.017
HIP 25878,Gaia DR3 3209938366665770752,Gaia DR2 3209938366665770752,Gaia DR1 3209938366665770752,175.72,1.2,175.3131,0.0204
HIP 103039,Gaia DR3 6882963066420161664,Gaia DR2 6882963066420161664,\N,182.15,3.68,177.9312,0.0365
HIP 33226,Gaia DR3 939072613334579328,Gaia DR2 939072613334579328,Gaia DR1 939072609037892224,181.32,1.87,179.0629,0.028
HIP 21088,Gaia DR3 470826482637310080,Gaia DR2 470826482635704064,\N,181.36,3.67,181.2438,0.0499
HIP 67155,Gaia DR3 3741297293732404352,Gaia DR2 3741297293732404352,\N,184.13,1.27,183.9962,0.0253
HIP 57544,Gaia DR3 1129149723913123456,Gaia DR2 1129149723913123456,Gaia DR1 1129149719617136384,185.48,1.43,190.3251,0.0194
HIP 112460,Gaia DR3 1934263333784036736,Gaia DR2 1934263333784036736,\N,198.07,2.05,197.9573,0.022
HIP 19849,Gaia DR3 3195919528989223040,Gaia DR2 3195919528988725120,\N,198.24,0.84,199.608,0.1208
HIP 86214,Gaia DR3 5955305209191546112,Gaia DR2 5955305209191546112,\N,198.32,2.43,199.6944,0.0312
HIP 1242,Gaia DR3 2368293487261055488,Gaia DR2 2368293487260807040,\N,191.86,17.24,200.53,9.41
HIP 106440,Gaia DR3 6562924609150908416,Gaia DR2 6562924609150908416,\N,202.53,1.33,201.3252,0.0237
HIP 54211,Gaia DR3 778947814402602752,Gaia DR2 778947814402405120,\N,206.94,1.19,203.8876,0.0332
HIP 49908,Gaia DR3 823773494718931968,Gaia DR2 823773494718931968,\N,205.22,0.81,205.3148,0.0224
HIP 113020,Gaia DR3 2603090003484152064,Gaia DR2 2603090003484152064,\N,212.69,2.1,214.038,0.0356
HIP 57367,Gaia DR3 5332606522595645952,Gaia DR2 5332606522595645952,Gaia DR1 5332606518269523072,216.4,2.11,215.6753,0.0181
HIP 85523,Gaia DR3 5951824121022278144,Gaia DR2 5951824121022278144,\N,220.43,1.63,219.6463,0.0262
HIP 86162,Gaia DR3 1637645127018395776,Gaia DR2 1637645127018395776,Gaia DR1 1637645328881199360,220.85,0.92,219.7898,0.021
HIP 439,Gaia DR3 2306965202564744064,Gaia DR2 2306965202564506752,\N,229.33,1.08,230.097,0.0362
HIP 3829,Gaia DR3 2552928187080872832,Gaia DR2 2552928187080872832,\N,226.95,5.35,231.78,0.0183
HIP 80824,Gaia DR3 4330690742322011520,Gaia DR2 4330690742322011520,Gaia DR1 4330690909825212928,234.51,1.82,232.139,0.0268
HIP 30920,\N,Gaia DR2 3117120863523946368,\N,242.89,2.64,242.9659,0.8833
HIP 105090,Gaia DR3 6583272171336048640,Gaia DR2 6583272171335359360,\N,253.37,1.13,251.9124,0.0352
HIP 24186,Gaia DR3 4810594479418041856,Gaia DR2 4810594479417465600,\N,255.26,0.86,254.1986,0.0168
HIP 36208,Gaia DR3 3139847906307949696,Gaia DR2 3139847906304421632,\N,263.26,1.43,264.1269,0.0413
HIP 5643,Gaia DR3 2358524597030794112,Gaia DR2 2358524597030794112,\N,269.05,7.57,269.0573,0.0337
HIP 8102,Gaia DR3 2452378776434477184,Gaia DR2 2452378776434276992,\N,274.17,0.8,273.8097,0.1701
HIP 108870,Gaia DR3 6412595290592307840,Gaia DR2 6412595290592307840,\N,275.76,0.69,274.8431,0.0956
HIP 1475,Gaia DR3 385334230892516480,Gaia DR2 385334230892516480,Gaia DR1 385334123516493568,280.27,1.05,280.7068,0.0203
HIP 91772,Gaia DR3 2154880616774131712,Gaia DR2 2154880616772528384,Gaia DR1 2154877657540105216,284.48,5.01,283.8378,0.0287
HIP 91768,Gaia DR3 2154880616774131840,Gaia DR2 2154880616773521408,Gaia DR1 2154877657540108928,280.28,2.57,283.8401,0.022
HIP 104214,Gaia DR3 1872046609345556480,Gaia DR2 1872046574983507456,\N,287.13,1.51,285.9949,0.0599
HIP 104217,Gaia DR3 1872046574983497216,Gaia DR2 1872046574983497216,\N,285.42,0.72,286.0054,0.0289
HIP 57548,Gaia DR3 3796072592206250624,Gaia DR2 3796072592206250624,Gaia DR1 3796072587910775936,299.58,2.2,296.3053,0.0302
HIP 114046,Gaia DR3 6553614253923452800,Gaia DR2 6553614253923452800,\N,303.9,0.87,304.1354,0.02
HIP 16537,Gaia DR3 5164707970261890560,Gaia DR2 5164707970261630080,\N,310.75,0.85,310.5773,0.1355
HIP 92403,Gaia DR3 4075141768785646848,Gaia DR2 4075141768785646848,\N,336.48,1.82,336.0266,0.0317
HIP 54035,Gaia DR3 762815470562110464,\N,\N,392.4,0.91,392.7529,0.0321
HIP 87937,Gaia DR3 4472832130942575872,Gaia DR2 4472832130942575872,\N,549.01,1.58,546.9759,0.0401
HIP 70890,Gaia DR3 5853498713190525696,Gaia DR2 5853498713160606720,\N,772.33,2.42,768.0665,0.0499
